Country;Year;CRP_RL.EST;CRP_GE.EST;CRP_PV.EST;CRP_RQ.EST;CRP_VA.EST;GDE_SL.GDP.PCAP.EM.KD;CRP_CC.EST
ARG;2021;0,238664265;0,22740533;0,574767341;0,190353043;0,535354395;0,323421542;0,282112954
ARG;2020;0,23535038;0,270069001;0,557234174;0,230614231;0,524047325;0,331512034;0,353990012
ARG;2019;0,254003605;0,311880612;0,550985108;0,244334226;0,518001868;0,342873855;0,369795211
ARG;2018;0,318523125;0,358600988;0,576301097;0,322263581;0,504399602;0,359720478;0,372095366
ARG;2017;0,312714264;0,392173982;0,613965551;0,3221659;0,499794836;0,379654144;0,313666002
ARG;2016;0,287184806;0,418574882;0,622480895;0,276314568;0,484676087;0,369701474;0,316400319
ARG;2015;0,154093155;0,334280056;0,576773735;0,109469135;0,449744159;0,380756057;0,238013376
ARG;2014;0,117554204;0,314995013;0,573415334;0,058508646;0,421279452;0,371288133;0,246751679
ARG;2013;0,182869239;0,270156827;0,590450669;0,100341852;0,392006062;0,384460561;0,278847702
ARG;2012;0,19318502;0,284782195;0,599574961;0,10957085;0,399810181;0,377082716;0,275540585
ARG;2011;0,211800917;0,32705397;0,613107504;0,168895617;0,421109325;0,386066296;0,298289085
ARG;2010;0,200934533;0,31467106;0,554145293;0,156475359;0,428273713;0,37176108;0,30075508
ARG;2009;0,170988662;0,257440214;0,51785332;0,129833534;0,393335275;0,331982337;0,275661292
ARG;2008;0,169353134;0,310991317;0,553429929;0,16869403;0,427085577;0,363487254;0,278608782
ARG;2007;0,19988489;0,345842587;0,598306694;0,188982748;0,465513104;0,349821943;0,296058032
ARG;2006;0,2074842;0,339127197;0,575129998;0,195386352;0,446161397;0,321743059;0,307426221
ARG;2005;0,213395624;0,319008871;0,564550604;0,222512163;0,388684216;0,304530548;0,294496355
ARG;2004;0,148332971;0,354550909;0,426896394;0,170086547;0,428432494;0,283409238;0,284299464
ARG;2003;0,145307852;0,339031831;0,487625418;0,172074827;0,422901006;0,269865724;0,266067656
ARG;2002;0,15028498;0,278026528;0,386842661;0,114714636;0,384757382;0,267933648;0,283563661
ARG;2000;0,320156944;0,340973009;0,597829573;0,436919749;0,452547224;0,304781747;0,351591165
ARG;1998;0,374696494;0,45300748;0,542088402;0,539689228;0,405652044;0,31754667;0,342950661
ARG;1996;0,410254192;0,401811762;0,601591146;0,538695405;0,441221979;0,311029717;0,371358784
BOL;2021;0,021089949;0,110356961;0,507221746;0,027465625;0,224464611;0,056339657;0,153950004
BOL;2020;0,007935943;0,121830417;0,464977932;0,067862358;0,236896754;0,051083211;0,164832264
BOL;2019;0,017254864;0,101531265;0,39850172;0,077966049;0,223275007;0,058382596;0,182386899
BOL;2018;0,010225992;0,246259167;0,505316432;0,076404953;0,247938764;0,055467093;0,208176208
BOL;2017;0;0,225516514;0,506907772;0,079949107;0,262831456;0,059166871;0,204669567
BOL;2016;0,002044428;0,161296393;0,513301272;0,072578165;0,257789252;0,058610486;0,184259593
BOL;2015;0,025738946;0,1373722;0,509232611;0,102981721;0,271383241;0,055513784;0,200040679
BOL;2014;0,05797522;0,167212648;0,494089245;0,112908919;0,262112172;0,041681483;0,224790576
BOL;2013;0,060263491;0,230993544;0,495182105;0,143305808;0,243829618;0,041943852;0,236094011
BOL;2012;0,070221452;0,236733669;0,463868003;0,129366441;0,238436619;0,036986398;0,197131723
BOL;2011;0,081012419;0,202359724;0,473769935;0,150290631;0,244153079;0,02788679;0,240007705
BOL;2010;0,066795341;0,19264767;0,474185755;0,139998326;0,25657174;0,024877193;0,271998203
BOL;2009;0,040654347;0,15997681;0,45224871;0,116928766;0,276352984;0,023131978;0,223957791
BOL;2008;0,082717214;0,151935092;0,40618613;0,119653511;0,274646344;0,022041765;0,25260529
BOL;2007;0,128152499;0,169269864;0,36857649;0,082796994;0,291461558;0,019268326;0,287696229
BOL;2006;0,121502043;0,119820989;0,380550186;0,112380924;0,306125682;0,014383921;0,279651898
BOL;2005;0,148940543;0,130083108;0,33980561;0,171354495;0,206262084;0,015954809;0,193214598
BOL;2004;0,192032124;0,147450749;0,410054594;0,301228994;0,20037759;0,013590151;0,174534269
BOL;2003;0,240901725;0,229397051;0,372732892;0,335391321;0,249215531;0,011576484;0,162171833
BOL;2002;0,269288578;0,246840174;0,50535885;0,354363802;0,333495416;0,010919329;0,137927819
BOL;2000;0,272361767;0,252428044;0,517319644;0,386509143;0,354739357;0,010713682;0,265087687
BOL;1998;0,316162229;0,319132312;0,516344679;0,432565052;0,424890295;0,011783047;0,276518499
BOL;1996;0,305514344;0,294824431;0,542059686;0,383171798;0,339983295;0,00770114;0,170177092
BRA;2021;0,293358252;0,195177335;0,473148359;0,344803695;0,382848185;0,190079647;0,260834271
BRA;2020;0,314782148;0,203636443;0,466881725;0,348017374;0,39691052;0,191388115;0,280260472
BRA;2019;0,317121209;0,276301744;0,401874385;0,344867317;0,402753927;0,176725707;0,286170898
BRA;2018;0,292818262;0,186336964;0,463487797;0,292817427;0,435252683;0,179712947;0,26589262
BRA;2017;0,291803817;0,250308955;0,45854094;0,341999046;0,465678101;0,179892569;0,244000887
BRA;2016;0,324250671;0,271765926;0,482498833;0,324090066;0,466902256;0,177401593;0,275668013
BRA;2015;0,328608619;0,269831016;0,494390994;0,326527562;0,469900797;0,179427307;0,272352974
BRA;2014;0,370396841;0,294717592;0,557654061;0,373112053;0,475503239;0,188547893;0,29783101
BRA;2013;0,358238745;0,312635146;0,512121666;0,426007223;0,452152902;0,191176229;0,372364649
BRA;2012;0,362872988;0,299359453;0,58577014;0,43417715;0,478055203;0,187280489;0,386502891
BRA;2011;0,400804726;0,301917192;0,54259005;0,459873922;0,493374738;0,18946866;0,446352177
BRA;2010;0,404307452;0,322499911;0,577913302;0,456417838;0,518074774;0,178906336;0,41171222
BRA;2009;0,354507652;0,302262792;0,614237103;0,420344325;0,496939312;0,162982425;0,37729029
BRA;2008;0,297274986;0,303237159;0,498850738;0,405013232;0,517062663;0,164836639;0,400487109
BRA;2007;0,259448854;0,258615377;0,488082532;0,374744383;0,503395557;0,158352988;0,376177156
BRA;2006;0,261673414;0,226895509;0,503328344;0,36915547;0,48754994;0,147743563;0,366030339
BRA;2005;0,239017983;0,300263397;0,510954363;0,392850727;0,469392533;0,143756515;0,356779681
BRA;2004;0,262201672;0,320801462;0,507903831;0,393006199;0,43981127;0,14177151;0,391948894
BRA;2003;0,272463853;0,375453465;0,575673246;0,441287242;0,46303231;0,13789304;0,424623411
BRA;2002;0,303934925;0,338907671;0,653934235;0,437003009;0,475627647;0,137918867;0,422316407
BRA;2000;0,31068994;0,363308787;0,619179992;0,460001337;0,402544181;0,141345421;0,403212517
BRA;1998;0,323703078;0,286476725;0,492542896;0,480871978;0,415931749;0,143027124;0,411064047
BRA;1996;0,317330048;0,304828463;0,52133469;0,471668183;0,377054448;0,143733386;0,394365031
CAN;2021;0,881997391;0,840789012;0,80736604;0,870808372;0,892576434;0,680946;0,849027965
CAN;2020;0,88962552;0,851849617;0,819678562;0,864390296;0,903399503;0,67830502;0,834854126
CAN;2019;0,921142671;0,882829822;0,815255816;0,899978866;0,885778173;0,67602077;0,880573265
CAN;2018;0,919702907;0,875852726;0,807747781;0,896771219;0,916589578;0,678520269;0,897223996
CAN;2017;0,934442102;0,919879322;0,838198593;0,95126421;0,906258525;0,669253953;0,922484898
CAN;2016;0,94650898;0,89793444;0,874653897;0,905256471;0,892304822;0,662066732;0,940207128
CAN;2015;0,948345013;0,89361946;0,87995662;0,898783293;0,901726282;0,660974017;0,912797495
CAN;2014;0,97292697;0,900716989;0,858955621;0,938995638;0,878274436;0,65998843;0,909060992
CAN;2013;0,929771658;0,909163733;0,83136429;0,906007209;0,895876059;0,642720345;0,922106385
CAN;2012;0,932543914;0,901538798;0,843842679;0,899127822;0,889031593;0,635390451;0,933107065
CAN;2011;0,92343924;0,906430113;0,835174471;0,892352029;0,864465167;0,630852912;0,947630015
CAN;2010;0,945646989;0,908088667;0,80110737;0,894955746;0,85269355;0,619013144;0,97286135
CAN;2009;0,945067883;0,896863753;0,84724308;0,895910058;0,873780638;0,607121563;0,970059444
CAN;2008;0,944964204;0,909550716;0,826515315;0,882077717;0,876193133;0,615999984;0,952242512
CAN;2007;0,945183934;0,900862131;0,818204702;0,868573104;0,866403976;0,61887094;0,953120892
CAN;2006;0,946421599;0,943979318;0,824963554;0,854105036;0,87964776;0,619972594;0,942530646
CAN;2005;0,899521806;0,94094759;0,775085417;0,856254922;0,918743072;0,61345115;0,919425336
CAN;2004;0,91101869;0,946675164;0,786627334;0,871613743;0,987942322;0,600390416;0,901675362
CAN;2003;0,91409776;0,954206584;0,829346008;0,843784872;0,936164319;0,590547581;0,936551604
CAN;2002;0,90301711;0,934163218;0,869241212;0,846606183;0,915391525;0,594636839;0,950715963
CAN;2000;0,904288002;0,930464669;0,857026341;0,82555773;0,929486853;0,58723218;0,969370503
CAN;1998;0,919671829;0,939327858;0,80462951;0,847442448;0,937815841;0,553556745;0,965169369
CAN;1996;0,898623033;0,896951804;0,873115715;0,832776624;0,944206991;0,531798116;0,964390002
CHL;2021;0,663744023;0,5357547;0,613677918;0,665446385;0,683752678;0,39801956;0,66556317
CHL;2020;0,674956207;0,571297958;0,585298232;0,669207175;0,698500207;0,375117728;0,707272768
CHL;2019;0,673718152;0,620981486;0,570743686;0,732812725;0,693758793;0,35828352;0,671798427
CHL;2018;0,678807146;0,634692077;0,674450449;0,775841504;0,712736958;0,362305098;0,665956732
CHL;2017;0,691240734;0,603995529;0,672915114;0,783342922;0,70184088;0,352870928;0,678004845
CHL;2016;0,685145436;0,611903523;0,671978058;0,795075423;0,699810735;0,356540282;0,684079816
CHL;2015;0,765881525;0,638551528;0,677411459;0,781718847;0,703586956;0,352569407;0,728526583
CHL;2014;0,805938024;0,674949763;0,682888309;0,831654727;0,725614985;0,348962334;0,800236137
CHL;2013;0,77681738;0,713579125;0,662627051;0,831134084;0,747176985;0,346601763;0,816335922
CHL;2012;0,786886576;0,719857804;0,654732799;0,847297627;0,734611158;0,340555363;0,828746471
CHL;2011;0,779330271;0,711638974;0,684106398;0,818301583;0,733310893;0,322444973;0,810116659
CHL;2010;0,767546649;0,713199593;0,739019869;0,810613537;0,742620441;0,317720682;0,800393986
CHL;2009;0,757813085;0,70702233;0,720392167;0,814319965;0,708893446;0,316274706;0,766917438
CHL;2008;0,762867612;0,683334437;0,679114413;0,837078924;0,707442466;0,316881475;0,766014296
CHL;2007;0,758153978;0,722462717;0,672936932;0,831956908;0,746575916;0,313076545;0,773567355
CHL;2006;0,75383602;0,644266468;0,722912649;0,813257687;0,736923688;0,305664209;0,79231209
CHL;2005;0,762822162;0,712687124;0,778388814;0,779482531;0,826937597;0,298921904;0,79341478
CHL;2004;0,748990408;0,700798496;0,741858562;0,796310851;0,798142042;0,289827998;0,762642086
CHL;2003;0,752568129;0,695300296;0,758853774;0,785840697;0,725692231;0,273305459;0,724058544
CHL;2002;0,777435305;0,688467331;0,837984981;0,781310759;0,73899769;0,268150335;0,810832018
CHL;2000;0,778579811;0,665565195;0,69206604;0,807449575;0,65406203;0,251159702;0,827808525
CHL;1998;0,727831524;0,694417878;0,582703331;0,798716089;0,538501467;0,231216777;0,760319695
CHL;1996;0,732845527;0,769957814;0,738258029;0,849286575;0,582921265;0,208406059;0,803867496
COL;2021;0,240761986;0,335125725;0,343789529;0,442937117;0,313799803;0,183547296;0,297917425
COL;2020;0,233698619;0,35250422;0,405077276;0,450066708;0,334683328;0,170203682;0,329482962
