Country;Year;CRP_RL.EST;CRP_GE.EST;CRP_PV.EST;CRP_RQ.EST;CRP_VA.EST;GDE_SL.GDP.PCAP.EM.KD;CRP_CC.EST
COL;2021;0,240761986;0,335125725;0,343789529;0,442937117;0,313799803;0,183547296;0,297917425
COL;2020;0,233698619;0,35250422;0,405077276;0,450066708;0,334683328;0,170203682;0,329482962
COL;2019;0,265278481;0,360063109;0,337764984;0,478026639;0,361008434;0,160896878;0,320795848
COL;2018;0,267563049;0,306026274;0,379486828;0,44983112;0,347081089;0,153584788;0,304998146
COL;2017;0,272945948;0,305618492;0,386138311;0,459700257;0,321553616;0,151334171;0,2801186
COL;2016;0,304217199;0,338321843;0,360088997;0,484426557;0,325561771;0,152266087;0,292746151
COL;2015;0,310104889;0,320474388;0,315224937;0,505248283;0,275065091;0,148977938;0,301586589
COL;2014;0,308482502;0,307304575;0,305083878;0,516369962;0,254832901;0,147730359;0,289090569
COL;2013;0,266231993;0,366581186;0,262184187;0,484668703;0,238567869;0,142913606;0,276891029
COL;2012;0,28550644;0,349412451;0,235619166;0,480658738;0,245971743;0,135874706;0,282105885
COL;2011;0,319238136;0,333942176;0,263953654;0,466414778;0,247803543;0,135310092;0,311238698
COL;2010;0,302451425;0,310892459;0,202878178;0,429330428;0,216692076;0,129073197;0,281818155
COL;2009;0,272499922;0,255390823;0,131491999;0,408424488;0,209316914;0,129050958;0,305820689
COL;2008;0,268318046;0,341731568;0,126384868;0,464228931;0,202316692;0,138513626;0,326806057
COL;2007;0,25223971;0,334006738;0,137736354;0,467827583;0,202574098;0,136561729;0,321907222
COL;2006;0,228808622;0,289634413;0,113969389;0,413863381;0,199398358;0,123804345;0,350832018
COL;2005;0,190062964;0,287701159;0,07693022;0,376705745;0,135248708;0,112481623;0,359103937
COL;2004;0,17076119;0,281977965;0,025346521;0,355472341;0,136848857;0,109313589;0,360426943
COL;2003;0,157114902;0,280104956;0;0,343317052;0,089542277;0,100133654;0,342726902
COL;2002;0,154021461;0,196555358;0,101412838;0,374614513;0,095060644;0,102195128;0,326030808
COL;2000;0,099344596;0,223196006;0,185518811;0,409404473;0,085731236;0,114430281;0,28656485
COL;1998;0,180791326;0,247461247;0,14078507;0,330689891;0,125968734;0,111517296;0,253909418
COL;1996;0,153162396;0,205750066;0,176111193;0,349691697;0,054551916;0,106010408;0,257092472
